,gdp,suicides
0,796,31.85
1,769,32.46
2,833,33.400000000000006
3,251,18.0
4,437,32.56
5,697,32.18
6,835,40.55000000000001
7,1127,43.620000000000005
8,793,77.42999999999999
9,899,66.52
10,1127,69.81
11,1299,30.7
12,1451,50.61999999999999
13,1573,62.50999999999999
14,2021,58.599999999999994
15,2544,65.39
16,2931,0.0
17,3235,0.0
18,3863,65.85
19,4672,71.05000000000001
20,4387,0.0
21,4359,41.66
22,3850,0.0
23,4740,0.0
24,5595,0.0
25,6693,0.0
26,7407,0.0
27,7744,17.24
28,7976,0.0
29,8087,0.0
30,8453,15.0
31,9062,0.0
32,8636,0.0
33,10078,0.0
34,10378,0.0
35,11021,39.97
36,10468,19.45
37,10499,0.0
38,10878,27.82
39,11535,36.06
40,12649,0.0
41,14114,0.0
42,15775,7.98
43,16238,0.0
44,14335,0.0
45,13657,0.0
46,13287,0.0
47,14093,0.0
48,14853,15.62
49,3264,134.47
50,4072,152.90000000000003
51,4026,144.97999999999996
52,4458,146.24000000000004
53,2670,138.93
54,4859,134.89999999999998
55,6404,119.23999999999998
56,7615,126.86000000000001
57,7768,134.77
58,8328,122.05
59,8232,119.97
60,8563,118.03
61,9057,111.39999999999999
62,9126,116.92999999999998
63,8546,117.18999999999998
64,8462,131.39
65,7900,143.55999999999997
66,2840,139.42
67,3668,146.29
68,4683,131.05999999999997
69,5590,128.17999999999998
70,6475,128.22
71,7918,118.35
72,9843,118.11
73,8961,107.32
74,11273,111.24
75,13946,105.86999999999999
76,14203,119.81999999999998
77,14206,103.42000000000002
78,13400,111.35000000000002
79,14981,112.13000000000001
80,756,41.120000000000005
81,640,45.870000000000005
82,385,40.86
83,357,51.050000000000004
84,387,66.72999999999999
85,426,51.79
86,458,37.05
87,465,32.23
88,532,27.419999999999998
89,515,24.68
90,530,34.300000000000004
91,587,29.78
92,788,38.070000000000014
93,928,33.43
94,2310,43.67000000000001
95,3366,39.019999999999996
96,3829,35.150000000000006
97,3215,33.699999999999996
98,3460,40.410000000000004
99,3798,32.98
100,3773,36.57000000000001
101,3957,37.48
102,4142,37.01
103,3775,45.279999999999994
104,3788,40.559999999999995
105,17949,308.51
106,21027,115.47000000000001
107,22333,305.33
108,22317,27.28
109,21987,126.46000000000001
110,22345,12.93
111,24133,176.71999999999997
112,24870,99.58
113,25622,96.31
114,27672,92.19000000000001
115,29447,41.440000000000005
116,26361,42.230000000000004
117,25974,58.65
118,27066,93.42
119,12374,163.41
120,12288,175.79000000000002
121,12564,188.82000000000002
122,15393,179.32000000000002
123,19223,168.10999999999999
124,19665,172.35
125,20320,180.14999999999998
126,20050,170.64000000000001
127,19030,154.95
128,19469,167.75
129,21902,155.19000000000003
130,23526,175.33999999999997
131,25234,186.93000000000006
132,22897,176.41000000000003
133,22016,167.15
134,23219,157.82000000000005
135,20860,158.79000000000002
136,21474,144.67999999999998
137,25059,133.84
138,32454,133.76000000000002
139,39014,127.89
140,43171,130.25
141,52315,130.48999999999998
142,45128,130.12
143,54887,132.64000000000004
144,66770,133.22
145,72669,139.57
146,72856,138.78
147,66809,149.07000000000002
148,60656,154.18
149,9759,384.80999999999995
150,13911,401.8
151,17415,405.88
152,18663,357.64
153,18544,359.31999999999994
154,23020,353.78000000000003
155,23808,355.47
156,26450,341.74
157,25611,347.96
158,27274,343.62000000000006
159,32237,348.0899999999999
160,31660,342.65000000000003
161,28325,297.5000000000001
162,28972,289.38
163,28722,280.3
164,25922,289.77
165,25848,261.90999999999997
166,27772,276.92
167,33889,257.06
168,38711,254.03999999999996
169,40367,235.24999999999997
170,42698,218.89999999999995
171,49218,217.31
172,54294,216.44999999999996
173,50356,213.22
174,49181,207.55000000000004
175,53923,211.49
176,50979,206.63000000000002
177,53229,212.12
178,54278,209.82
179,46484,194.62
180,46976,183.22999999999996
181,1439,24.61
182,1398,32.230000000000004
183,784,34.78
184,617,31.519999999999996
185,508,12.040000000000001
186,462,14.280000000000001
187,476,17.830000000000002
188,590,18.59
189,631,10.669999999999998
190,645,8.58
191,711,14.41
192,759,60.05
193,820,19.419999999999998
194,948,27.07
195,1122,18.33
196,4172,11.830000000000002
197,11393,4.76
198,12286,13.59
199,12698,37.51
200,13073,10.6
201,13473,7.16
202,14297,9.82
203,24740,7.15
204,26269,11.09
205,29019,22.96
206,29942,40.660000000000004
207,30122,2.68
208,31432,9.969999999999999
209,30704,2.49
210,30671,5.93
211,32596,13.32
212,32957,5.640000000000001
213,33710,13.42
214,32746,12.49
215,30450,15.98
216,30239,58.31999999999999
217,29761,12.989999999999998
218,31204,11.84
219,30455,13.91
220,9980,20.119999999999997
221,9321,25.680000000000003
222,9501,24.799999999999997
223,11985,0.0
224,11325,0.0
225,11703,22.459999999999997
226,15345,32.73
227,14383,30.659999999999997
228,14572,27.680000000000003
229,15756,32.39
230,17497,54.209999999999994
231,19485,40.22
232,20826,27.179999999999996
233,22524,32.09
234,25106,27.89
235,20988,24.59
236,22572,11.89
237,26078,14.96
238,25587,8.68
239,26793,2.49
240,27503,6.5200000000000005
241,6137,61.72
242,6720,36.73
243,7333,29.46
244,7763,57.39
245,8541,73.58
246,8537,121.22999999999999
247,8469,76.93
248,8129,63.53
249,8540,90.92999999999999
250,8953,67.08000000000001
251,9378,72.28999999999999
252,12430,37.129999999999995
253,12348,8.65
254,12511,0.0
255,12887,0.0
256,13786,7.79
257,15230,2.58
258,16531,45.38
259,17528,0.0
260,17760,2.31
261,17007,28.799999999999997
262,17034,7.62
263,17708,0.0
264,17620,0.0
265,17395,0.0
266,2301,274.37
267,1899,297.64000000000004
268,1780,314.23999999999995
269,1689,365.11000000000007
270,1547,403.58
271,1444,404.01
272,1524,455.71
273,1458,446.50000000000006
274,1570,455.64
275,1269,450.36
276,1335,447.29999999999995
277,1299,419.6500000000001
278,1541,411.0
279,1892,444.86
280,4898,355.89
281,6601,352.1599999999999
282,5366,375.53999999999996
283,6371,331.98
284,6902,299.36
285,8477,273.32
286,8849,252.91
287,9356,332.0400000000001
288,12992,314.69000000000005
289,16165,327.76
290,17509,283.8
291,17659,284.84999999999997
292,22032,277.11
293,22523,264.02
294,25036,265.88
295,23875,300.47
296,25922,300.40000000000003
297,30394,285.9
298,29438,267.54
299,26609,284.73999999999995
300,27087,264.73999999999995
301,26969,230.70000000000005
302,24592,267.8
303,24494,261.22
304,26526,247.85999999999996
305,32538,248.73000000000002
306,37661,231.06000000000003
307,39124,231.75
308,41135,214.9
309,47040,208.57
310,51345,221.54000000000005
311,47630,218.35
312,47355,220.18
313,50893,226.70999999999998
314,47678,217.13
315,49489,201.55
316,50173,201.85000000000002
317,42830,196.66
318,1552,19.369999999999997
319,1920,31.41
320,2372,5.16
321,2614,29.7
322,2742,23.93
323,3278,6.49
